step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
44826624,48931.0,0.005653,16.133324,0.000942,-0.984375,0.0,0.1045,-14.1947,0.009195,0.005954,0.00564,1.517099,1.308491,0.0
45613056,49233.9,-0.00088,14.57839,0.000967,-1.09375,0.0,0.1026,-14.2195,0.024621,0.010329,0.01009,1.413847,1.213188,0.0
46399488,49548.3,-0.000532,14.248401,0.000893,-1.085938,0.0,0.1006,-14.2223,0.010202,0.007093,0.006566,1.322438,1.08455,0.0
47185920,49849.5,0.003453,14.258458,0.00087,-1.109375,0.0,0.0993,-14.228,0.014521,0.005518,0.006347,1.302073,1.225418,0.0
47972352,49299.9,-0.003379,16.622456,0.000852,-1.117188,0.0,0.0969,-14.2503,0.016833,0.011218,0.013726,1.427193,1.224821,0.0
48758784,49606.6,0.004534,13.592106,0.000862,-1.203125,0.0,0.0942,-14.2631,0.022687,0.010911,0.017207,1.408673,1.211783,0.0
49545216,49894.0,0.000897,13.032123,0.000814,-1.171875,0.0,0.0915,-14.2777,0.018229,0.012379,0.014773,1.391172,1.1366,0.0
50331648,49511.9,-0.003314,14.722502,0.000772,-1.125,0.0,0.0889,-14.2895,0.014564,0.010754,0.011752,1.391804,1.099525,0.0
51118080,49780.8,-0.009362,12.864708,0.000711,-1.09375,0.0,0.0891,-14.2944,0.013493,0.010138,0.01179,1.140886,1.130679,0.0
51904512,50053.7,-0.002968,13.563353,0.00072,-1.148438,0.0,0.0896,-14.2827,0.014596,0.014449,0.012702,1.238435,1.099006,0.0
52690944,50322.7,0.002475,12.844324,0.000691,-1.140625,0.0,0.0901,-14.2695,0.008374,0.007502,0.006447,1.256314,1.07159,0.0
53477376,49852.1,0.00158,13.973219,0.000701,-1.101562,0.0,0.0903,-14.2583,0.009204,0.007143,0.007196,1.363513,1.187667,0.0
54263808,50121.8,0.002405,12.310753,0.000667,-1.023438,0.0,0.0903,-14.2195,0.007037,0.007698,0.006545,1.285615,1.204949,0.0
55050240,50386.2,0.000339,12.98527,0.000651,-1.023438,0.0,0.0903,-14.1695,0.006963,0.007662,0.008363,1.17923,1.281237,0.0
55836672,50633.2,-0.004504,12.528881,0.000685,-1.109375,0.0,0.0903,-14.1378,0.006805,0.007531,0.007989,1.294778,1.267511,0.0
56623104,50223.1,0.006533,13.965418,0.000616,-1.070312,0.0,0.0897,-14.0917,0.011693,0.010797,0.01179,1.312288,1.077671,0.0
57409536,50467.4,0.007643,12.449883,0.000634,-1.046875,0.0,0.0888,-14.0502,0.00867,0.008525,0.008707,1.284526,1.169966,0.0
58195968,50712.7,-0.004789,11.76956,0.000605,-1.078125,0.0,0.0881,-14.0128,0.005611,0.005568,0.005046,1.245827,1.130907,0.0
58982400,50352.7,0.000231,13.31233,0.000628,-1.125,0.0,0.0865,-13.989,0.014187,0.010571,0.009984,1.198426,1.092021,0.0
59768832,50598.8,0.000305,12.012982,0.00065,-1.195312,0.0,0.0844,-13.9938,0.009964,0.020493,0.007034,1.186131,1.004881,0.0
60555264,50838.0,-0.005122,12.073582,0.000659,-1.210938,0.0,0.0814,-14.0032,0.013853,0.019296,0.010172,1.205843,1.009479,0.0
61341696,51079.4,-0.001881,11.602081,0.000641,-1.234375,0.0,0.0783,-14.0258,0.009639,0.013888,0.008042,1.128033,0.932648,0.0
62128128,50654.5,0.004445,11.80444,0.000572,-1.164062,0.0,0.0777,-13.961,0.017186,0.017413,0.01312,1.131551,0.919584,0.0
62914560,50884.7,-0.001125,10.429519,0.000542,-1.125,0.0,0.0784,-13.8549,0.014743,0.013703,0.009628,1.13413,1.010279,0.0
63700992,51097.4,-0.006797,11.326798,0.000557,-1.0625,0.0,0.079,-13.7861,0.008796,0.00662,0.006137,1.111482,1.071366,0.0
64487424,50789.5,-0.003566,12.366306,0.000563,-1.117188,0.0,0.0798,-13.6787,0.018159,0.00886,0.007808,1.019399,0.948448,0.0
65273856,51012.6,0.005038,10.656381,0.000545,-1.226562,0.0,0.0799,-13.5963,0.014816,0.012118,0.01193,1.025286,0.887567,0.0
66060288,51229.6,0.004956,10.506672,0.000518,-1.210938,0.0,0.08,-13.5236,0.013977,0.011617,0.012522,1.149461,0.92112,0.0
66846720,51453.8,0.008259,9.716932,0.000495,-1.21875,0.0,0.0801,-13.4539,0.009145,0.008241,0.008199,1.099273,0.874042,0.0
67633152,51008.3,0.007103,12.520426,0.00057,-1.21875,0.0,0.0798,-13.4312,0.010302,0.009181,0.010398,1.097672,0.865241,0.0
68419584,51222.7,-0.006033,11.984713,0.000614,-1.226562,0.0,0.0787,-13.4193,0.006873,0.01066,0.006071,1.067708,0.895937,0.0
69206016,51426.8,-0.006238,11.229485,0.000634,-1.210938,0.0,0.0776,-13.3903,0.009029,0.013521,0.009394,1.128512,0.941569,0.0
69992448,51060.1,-0.000344,11.793018,0.000612,-1.1875,0.0,0.0765,-13.3498,0.005981,0.007289,0.005546,1.058611,0.88565,0.0
70778880,51269.9,0.00095,10.150142,0.000577,-1.171875,0.0,0.0778,-13.2608,0.011539,0.012746,0.011671,1.019944,0.952195,0.0
71565312,51480.1,-0.010271,10.330697,0.000592,-1.15625,0.0,0.0791,-13.1743,0.006625,0.007275,0.006287,1.056897,0.948671,0.0
72351744,51687.1,0.001801,10.14846,0.000541,-1.171875,0.0,0.0799,-13.1032,0.00826,0.00859,0.008455,0.999133,0.823234,0.0
73138176,51292.4,-0.001563,12.371035,0.000554,-1.132812,0.0,0.0811,-13.0187,0.006641,0.007934,0.005934,1.144661,0.947438,0.0
73924608,51470.6,-0.004817,10.31991,0.000555,-1.140625,0.0,0.0823,-12.929,0.007698,0.005956,0.006667,1.077057,0.920855,0.0
74711040,51661.9,-0.00469,10.262062,0.000535,-1.09375,0.0,0.0835,-12.8459,0.023343,0.005431,0.006057,1.024055,0.894273,0.0
75497472,51209.5,-0.001945,11.506729,0.000551,-1.132812,0.0,0.0847,-12.7583,0.020895,0.010239,0.009461,1.145227,0.953263,0.0
76283904,51404.9,0.002044,11.299833,0.000553,-1.179688,0.0,0.0875,-12.6851,0.017014,0.007229,0.007939,1.028041,0.882481,0.0
77070336,51592.5,-0.002001,11.558563,0.00056,-1.195312,0.0,0.0914,-12.5718,0.008274,0.006736,0.005621,1.062364,0.884082,0.0
77856768,51787.5,-0.001012,10.955438,0.000596,-1.289062,0.0,0.0955,-12.4501,0.019761,0.014201,0.015108,1.042433,0.861072,0.0
78643200,51433.8,-0.000658,11.240981,0.000571,-1.242188,0.0,0.0985,-12.3346,0.015014,0.009418,0.014516,0.971563,0.782042,0.0
79429632,51620.0,0.000849,9.923092,0.000567,-1.242188,0.0,0.0991,-12.2584,0.015198,0.010029,0.011405,0.935626,0.794985,0.0
80216064,51801.1,-0.004879,9.90851,0.000517,-1.273438,0.0,0.0997,-12.182,0.012588,0.005733,0.008427,1.133124,0.936848,0.0
81002496,51978.4,-0.003288,10.1269,0.000534,-1.242188,0.0,0.0999,-12.1353,0.012795,0.011906,0.010772,0.968095,0.804812,0.0
81788928,51387.2,-0.001047,10.816368,0.000495,-1.21875,0.0,0.1009,-12.0567,0.011122,0.008064,0.009086,1.022134,0.830508,0.0
82575360,51560.8,0.001776,9.346588,0.000519,-1.257812,0.0,0.1021,-11.9784,0.015242,0.007969,0.009608,1.025823,0.816674,0.0
83361792,51740.7,-0.004571,9.367338,0.000488,-1.265625,0.0,0.1032,-11.9058,0.006887,0.005213,0.00648,1.032702,0.826275,0.0
84148224,51323.2,0.000462,10.316452,0.000481,-1.25,0.0,0.1047,-11.8335,0.013958,0.009048,0.010722,1.243239,1.025837,0.0
84934656,51498.1,-0.005463,9.430206,0.000461,-1.1875,0.0,0.1062,-11.7728,0.007495,0.005026,0.006629,0.952826,0.75501,0.0
