step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
62128128,58439.4,-0.001602,2.566514,0.00045,-0.396484,0.0,0.0831,-6.1345,0.010767,0.014139,0.009291,0.620103,1.264109
62914560,58617.3,-0.004933,2.361504,0.000446,-0.402344,0.0,0.0845,-6.0934,0.009343,0.009824,0.00894,0.618434,1.223683
63700992,58816.0,0.005697,2.318508,0.000457,-0.392578,0.0,0.0854,-6.0682,0.006465,0.005944,0.005932,0.529156,1.644504
64487424,58512.3,-0.003073,2.54835,0.000455,-0.365234,0.0,0.0867,-6.0289,0.009265,0.00999,0.007521,0.549815,1.535791
65273856,58716.2,-0.004055,2.241609,0.000452,-0.441406,0.0,0.0868,-5.9972,0.010441,0.013628,0.013477,0.529116,1.518158
66060288,58899.1,-3.8e-05,2.097122,0.000446,-0.453125,0.0,0.0872,-5.962,0.012999,0.009894,0.009331,0.586052,1.407004
66846720,59069.2,-4.6e-05,2.201737,0.000448,-0.429688,0.0,0.0873,-5.9295,0.02804,0.007935,0.007172,0.624565,1.334769
67633152,58417.3,0.000731,2.721713,0.000509,-0.328125,0.0,0.0874,-5.9092,0.031556,0.010705,0.010433,0.540336,1.700163
68419584,58603.9,0.000254,2.528589,0.000507,-0.490234,0.0,0.0873,-5.8752,0.013604,0.010011,0.008182,0.491624,1.593723
69206016,58765.2,0.003009,2.399167,0.000463,-0.539062,0.0,0.0874,-5.8326,0.009224,0.005347,0.004855,0.554306,1.309377
69992448,58430.9,-0.000725,2.585628,0.000449,-0.421875,0.0,0.0876,-5.7921,0.017006,0.013588,0.010044,0.593174,1.104571
70778880,58588.4,0.006168,2.167735,0.000435,-0.425781,0.0,0.0863,-5.7767,0.015265,0.009896,0.009028,0.588905,1.173469
71565312,58768.0,-0.000595,2.229423,0.000431,-0.447266,0.0,0.0848,-5.7657,0.010434,0.007976,0.006019,0.681759,1.187303
72351744,58936.9,0.002033,2.328318,0.000461,-0.445312,0.0,0.0838,-5.7614,0.011437,0.007718,0.007032,0.575797,1.519707
73138176,58742.7,0.003869,2.955404,0.00047,-0.412109,0.0,0.0833,-5.7436,0.00837,0.004935,0.0037,0.607652,1.272315
73924608,58893.5,0.003777,2.451272,0.000463,-0.435547,0.0,0.0847,-5.7082,0.016182,0.005951,0.005348,0.555447,1.267374
74711040,59053.8,-0.004383,2.470286,0.000457,-0.449219,0.0,0.0858,-5.6785,0.010348,0.004821,0.003984,0.625499,1.131771
75497472,58810.9,-0.002509,2.927248,0.000484,-0.318359,0.0,0.0874,-5.6484,0.010718,0.005748,0.005341,0.717885,1.047867
76283904,58974.2,-0.004685,2.041697,0.000443,-0.386719,0.0,0.0893,-5.6114,0.017754,0.010364,0.008522,0.457871,1.848948
77070336,59125.0,-0.004103,2.022964,0.000462,-0.375,0.0,0.0921,-5.5617,0.020047,0.021346,0.01349,0.534649,1.811677
77856768,59264.1,-0.00324,1.902697,0.000445,-0.394531,0.0,0.0947,-5.4995,0.008377,0.010108,0.006505,0.53602,1.561876
78643200,59125.1,-0.001767,2.110903,0.000439,-0.359375,0.0,0.0969,-5.443,0.014429,0.012615,0.011869,0.587309,1.297564
79429632,59273.5,-0.000568,1.803631,0.000433,-0.402344,0.0,0.0983,-5.4056,0.015326,0.011754,0.01007,0.536679,1.349208
