step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
67633152,53942.8,-0.00322,2.309507,0.000847,-0.761719,0.0,0.0922,-5.6906,0.020365,0.013991,0.009982,8.278494,16.484661
68419584,54146.0,0.005243,2.089641,0.000698,-0.703125,0.0,0.0921,-5.6443,0.017472,0.010278,0.009443,8.819852,15.718819
69206016,54352.4,-0.000952,1.921988,0.000667,-0.808594,0.0,0.0923,-5.5911,0.010332,0.01029,0.005446,10.833497,14.655548
69992448,53894.2,-0.002197,1.900119,0.000652,-0.800781,0.0,0.0927,-5.5389,0.009555,0.010366,0.00487,11.737716,13.559139
70778880,54056.7,0.002108,2.015874,0.00071,-0.769531,0.0,0.0919,-5.5102,0.01347,0.014092,0.007692,11.896683,13.420572
71565312,54255.4,-0.002209,1.873211,0.000703,-0.707031,0.0,0.0912,-5.4763,0.010609,0.011913,0.006547,10.281773,11.03112
72351744,54450.7,-0.005582,2.023798,0.000689,-0.695312,0.0,0.0906,-5.4598,0.007355,0.007369,0.004473,8.231771,16.08054
73138176,54030.6,-0.000573,2.282053,0.000708,-0.726562,0.0,0.0903,-5.4242,0.017852,0.013855,0.006644,9.428056,14.624595
73924608,54205.4,-0.003796,2.041085,0.000724,-0.742188,0.0,0.0911,-5.3834,0.011987,0.011671,0.007865,11.388806,14.271368
74711040,54380.4,0.000109,2.058199,0.000716,-0.773438,0.0,0.0922,-5.3426,0.010414,0.009588,0.006736,11.496556,13.859335
75497472,53921.5,-0.004042,2.166578,0.000758,-0.847656,0.0,0.0934,-5.2949,0.01519,0.009357,0.006865,10.632958,11.093466
76283904,54115.6,0.008878,1.78757,0.001228,-0.816406,0.0,0.0941,-5.2586,0.015047,0.011037,0.008653,10.100474,15.680265
77070336,54286.3,0.000565,1.802426,0.000739,-0.914062,0.0,0.0953,-5.2101,0.008741,0.008521,0.007702,11.173142,14.267941
77856768,54429.6,0.003709,1.587165,0.000875,-0.886719,0.0,0.0967,-5.1541,0.011793,0.010972,0.008664,11.952306,14.261737
